"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"RJMKE2WI","journalArticle","2013","Sircar, Indraneel; Sage, Daniel; Goodier, Chris; Fussey, Pete; Dainty, Andrew","Constructing Resilient Futures: Integrating UK multi-stakeholder transport and energy resilience for 2050","Futures","","00163287","10.1016/j.futures.2013.04.003","https://linkinghub.elsevier.com/retrieve/pii/S0016328713000530","","2013-05","2024-12-01 14:08:14","2024-12-01 14:08:14","2024-12-01 14:08:14","49-63","","","49","","Futures","Constructing Resilient Futures","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\shrey\Zotero\storage\QBYCUMYE\Sircar et al. - 2013 - Constructing Resilient Futures Integrating UK mul.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7BFHIWPQ","journalArticle","2016","Hosseini, Seyedmohsen; Barker, Kash","Modeling infrastructure resilience using Bayesian networks: A case study of inland waterway ports","Computers & Industrial Engineering","","03608352","10.1016/j.cie.2016.01.007","https://linkinghub.elsevier.com/retrieve/pii/S036083521600019X","Infrastructure systems, including transportation, telecommunications, water supply, and electric power networks, are faced with growing number of disruptions such as natural disasters, malevolent attacks, human-made accidents, and common failures, due to their age, condition, and interdependence with other infrastructures. Risk planners, previously concerned with protection and prevention, are now more interested in the ability of such infrastructures to withstand and recover from disruptions in the form of resilience building strategies. This paper offers a means to quantify resilience as a function of absorptive, adaptive, and restorative capacities with Bayesian networks. A popular tool to structure relationships among several variables, the Bayesian network model allows for the analysis of different resilience building strategies through forward and backward propagation. The use of Bayesian networks to quantify resilience is demonstrated with the example of an inland waterway port, an important component in the intermodal transportation network.","2016-03","2024-12-01 14:08:18","2024-12-01 14:08:19","2024-12-01 14:08:18","252-266","","","93","","Computers & Industrial Engineering","Modeling infrastructure resilience using Bayesian networks","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\shrey\Zotero\storage\TG36KEXX\Hosseini and Barker - 2016 - Modeling infrastructure resilience using Bayesian .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KHPHI8QR","journalArticle","2022","Liu, Zhizhen; Chen, Hong; Liu, Enze; Hu, Wanyu","Exploring the resilience assessment framework of urban road network for sustainable cities","Physica A: Statistical Mechanics and its Applications","","03784371","10.1016/j.physa.2021.126465","https://linkinghub.elsevier.com/retrieve/pii/S037843712100738X","Urban space for new transportation facilities cannot meet the increasing traffic demand. Afterward, scholars gradually increased attention to the resilience evaluation of urban road networks. Therefore, we proposed a resilience assessment framework of the urban road networks, including the resilience performance index, the robustness index, and the recovery index. Then we simulated the cascading failure based on a nonlinear loadcapacity model with two capacity control parameters: α and β. Results show that the intersection-based attack has the most significant impact on resilience, and resilience is positively correlated with the node degree of the attacked intersection. The increase of α and β could enhance the resilience, and the urban road network achieves the best resilience performance when α = 0.3, β = 0.5. Compared with the deliberate attack strategy, the resilience performance under the random attack strategy is more robust. This research can provide the foundation for optimizing urban road networks and multi-mode urban public transit networks.","2022-01","2024-12-01 14:08:23","2024-12-01 14:08:23","2024-12-01 14:08:23","126465","","","586","","Physica A: Statistical Mechanics and its Applications","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\shrey\Zotero\storage\2U92CYNS\Liu et al. - 2022 - Exploring the resilience assessment framework of u.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C4CCPCZB","journalArticle","2022","Ghazy, Shams; Tang, Yu Hoe; Mugumya, Kevin Luwemba; Wong, Jing Ying; Chan, Andy","Future-proofing Klang Valley’s veins with REBET: A framework for directing transportation technologies towards infrastructure resilience","Technological Forecasting and Social Change","","00401625","10.1016/j.techfore.2022.121666","https://linkinghub.elsevier.com/retrieve/pii/S0040162522001986","The transportation industry is in the midst of a revolution with technologies, such as shared vehicles, drones, and autonomous vehicles, that are poised to reshape the way we move. Yet, the multitude of technologies present a difficulty in prioritizing which technologies should be invested in. While focusing on Klang Valley’s trans­ portation system, this research proposes the REsilience Brittleness and Emerging Technologies (REBET) frame­ work, which aims to identify the transportation technologies with the highest potential of strengthening the system’s resilience. We used a Dephi technique to identify the Sources of Brittleness (SBs) in the system and technologies with the highest relevance to the Malaysian setting. Using multiple linear regression, we then derived a relationship between the two aspects. The framework defines the relative resilience of the technologies according to their forecasted ability to eliminate system brittleness. The results ranked 23 technologies, with the topmost recommendations being ITS, Big Data, and Smart Buses. We highlight REBET’s robustness as a global decision-making tool for infrastructure managers, researchers, and policymakers to identify ideal technologies for their transportation systems.","2022-07","2024-12-01 14:08:26","2024-12-01 14:08:27","2024-12-01 14:08:26","121666","","","180","","Technological Forecasting and Social Change","Future-proofing Klang Valley’s veins with REBET","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\shrey\Zotero\storage\6WA3LV97\Ghazy et al. - 2022 - Future-proofing Klang Valley’s veins with REBET A.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9ZBKFP2F","journalArticle","2020","Argyroudis, Sotirios A.; Mitoulis, Stergios A.; Hofer, Lorenzo; Zanini, Mariano Angelo; Tubaldi, Enrico; Frangopol, Dan M.","Resilience assessment framework for critical infrastructure in a multi-hazard environment: Case study on transport assets","Science of The Total Environment","","00489697","10.1016/j.scitotenv.2020.136854","https://linkinghub.elsevier.com/retrieve/pii/S0048969720303648","","2020-04","2024-12-01 14:08:32","2024-12-01 14:08:32","2024-12-01 14:08:32","136854","","","714","","Science of The Total Environment","Resilience assessment framework for critical infrastructure in a multi-hazard environment","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\shrey\Zotero\storage\6WUT79HH\Argyroudis et al. - 2020 - Resilience assessment framework for critical infra.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F78HTLQ7","journalArticle","2020","Achillopoulou, Dimitra V.; Mitoulis, Stergios A.; Argyroudis, Sotirios A.; Wang, Ying","Monitoring of transport infrastructure exposed to multiple hazards: a roadmap for building resilience","Science of The Total Environment","","00489697","10.1016/j.scitotenv.2020.141001","https://linkinghub.elsevier.com/retrieve/pii/S0048969720345307","","2020-12","2024-12-01 14:08:36","2024-12-01 14:08:37","2024-12-01 14:08:36","141001","","","746","","Science of The Total Environment","Monitoring of transport infrastructure exposed to multiple hazards","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\shrey\Zotero\storage\RYGRB2I6\Achillopoulou et al. - 2020 - Monitoring of transport infrastructure exposed to .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3L86BTVQ","journalArticle","2021","Mayes, W.M.; Perks, M.T.; Large, A.R.G.; Davis, J.E.; Gandy, C.J.; Orme, P.A.H.; Jarvis, A.P.","Effect of an extreme flood event on solute transport and resilience of a mine water treatment system in a mineralised catchment","Science of The Total Environment","","00489697","10.1016/j.scitotenv.2020.141693","https://linkinghub.elsevier.com/retrieve/pii/S0048969720352220","Extreme rainfall events are predicted to become more frequent with climate change and can have a major bearing on instream solute and pollutant transport in mineralised catchments. The Coledale Beck catchment in northwest England was subject to an extreme rainfall event in December 2015 that equated to a 1 in 200-year event. The catchment contains the UK's ﬁrst passive metal mine water treatment system, and as such had been subject to intense monitoring of solute dynamics before and after commissioning. Due to this monitoring record, the site provides a unique opportunity to assess the effects of a major storm event on (1) catchment-scale solute transport, and (2) the resilience of the new and novel passive treatment system to extreme events. Monitoring suggests a modest decline in treatment efﬁciency over time that is not synchronous with the storm event and explained instead by changes in system hydraulic efﬁciency. There was no apparent ﬂushing of the mine system during the event that could potentially have compromised treatment system performance. Analysis of metal transport in the catchment downstream of the mine suggests relatively subtle changes in instream chemistry with modest but statistically-signiﬁcant reductions in zinc in the lower catchment irrespective of ﬂow condition after the extreme event, but most parameters of interest show no signiﬁcant change. Increased export of colloidal iron and aluminium is associated with major landslips in the mid-catchment after the storm and provide fresh sorption sites to attenuate dissolved zinc more rapidly in these locations, corroborated by laboratory experiments utilising site materials to investigate the attenuation/release of metals from stream and terrestrial sediments. The data are important as they show both the resilience of passive mine water treatment systems to extreme events and the importance of catchment-scale monitoring to ensure continued effectiveness of treatment initiatives after major perturbation.","2021-01","2024-12-01 14:08:41","2024-12-01 14:08:42","2024-12-01 14:08:41","141693","","","750","","Science of The Total Environment","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\shrey\Zotero\storage\TFNFK3C4\Mayes et al. - 2021 - Effect of an extreme flood event on solute transpo.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P6YC5DGM","journalArticle","2021","Sun, Li; D'Ayala, Dina; Fayjaloun, Rosemary; Gehl, Pierre","Agent-based model on resilience-oriented rapid responses of road networks under seismic hazard","Reliability Engineering & System Safety","","09518320","10.1016/j.ress.2021.108030","https://linkinghub.elsevier.com/retrieve/pii/S095183202100538X","This paper explores a new pathway towards seismic resilience of Road Networks (RNs) under earthquake haz­ ards, by leveraging post-shock rapid responses as the key to minimize the functionality losses of RNs, especially in the immediate aftermath of earthquakes. Accordingly, an agent-based modelling (ABM) framework is developed to enable the nuanced examination on resilience of earthquake-damaged RNs, when different system repair approaches are considered. In this framework, those different approaches are predicated on the damage level of individual bridges and on the system recovery timeline, i.e. the response to rehabilitation need is considered as a function of the time elapsed from the event. Each approach is represented by a different agent, whose behaviour is shaped by a set of pre-defined behavioural attributes, while the interplay among those agents is also accounted for, during the entirety of post-shock recovery campaigns. To demonstrate its applicability, the ABM framework is applied to a real-world RN across Luchon, France. As shown by the case-study, post-shock rapid responses are found to be a viable strategy to increase the recovery rate of RNs’ functionality in the im­ mediate-, and mid-term aftermath of damaging earthquakes, and ultimately, to improve the seismic resilience thereof.","2021-12","2024-12-01 14:08:46","2024-12-01 14:08:47","2024-12-01 14:08:46","108030","","","216","","Reliability Engineering & System Safety","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\shrey\Zotero\storage\XWPTC7LZ\Sun et al. - 2021 - Agent-based model on resilience-oriented rapid res.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F237PE3F","journalArticle","2023","Dong, Shangjia; Gao, Xinyu; Mostafavi, Ali; Gao, Jianxi; Gangwal, Utkarsh","Characterizing resilience of flood-disrupted dynamic transportation network through the lens of link reliability and stability","Reliability Engineering & System Safety","","09518320","10.1016/j.ress.2022.109071","https://linkinghub.elsevier.com/retrieve/pii/S095183202200686X","Traffic congestion occurs daily but the transportation network still functions to meet people’s travel needs. We propose that a road meets operation requirements as long as the quality of its links (i.e., speed or travel time) satisfies an acceptable threshold. This paper incorporates the link reliability concept into the road travel performance using the link quality threshold to offer new perspectives on network resilience measurement. We introduce two aggregated macroscopic metrics: network reliability scale index, and network stability, based on the link reliability to quantify the road travel performance change in facing external disturbance. We use the temporal traffic-embedded Harris County, TX transportation network during the 2017 Hurricane Harvey as a case study. We show that the proposed metrics can well capture the transportation network performance variation during flooding. Also, we develop an integrated resilience metric that encapsulates the network resistance, recoverability, and rapidity in facing flooding. The results move us closer to better understanding transportation network resilience behavior in different link quality conditions (𝑞). The findings of this research also provide important insights for city planners and traffic operators to examine transportation network resilience through a reliability and stability lens.","2023-04","2024-12-01 14:08:50","2024-12-01 14:08:51","2024-12-01 14:08:50","109071","","","232","","Reliability Engineering & System Safety","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\shrey\Zotero\storage\AIEKMN88\Dong et al. - 2023 - Characterizing resilience of flood-disrupted dynam.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XSQLA82X","journalArticle","2016","Cook, Andrew; Delgado, Luis; Tanner, Graham; Cristóbal, Samuel","Measuring the cost of resilience","Journal of Air Transport Management","","09696997","10.1016/j.jairtraman.2016.02.007","https://linkinghub.elsevier.com/retrieve/pii/S096969971600020X","Air trafﬁc management research lacks a framework for modelling the cost of resilience during disturbance. There is no universally accepted metric for cost resilience. The design of such a framework is presented and the modelling to date is reported. The framework allows performance assessment as a function of differential stakeholder uptake of strategic mechanisms designed to mitigate disturbance. Advanced metrics, cost- and non-cost-based, disaggregated by stakeholder sub-types, are described. A new cost resilience metric is proposed and exempliﬁed with early test data.","2016-09","2024-12-01 14:08:55","2024-12-01 14:08:56","2024-12-01 14:08:55","38-47","","","56","","Journal of Air Transport Management","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\shrey\Zotero\storage\C7S7ZF24\Cook et al. - 2016 - Measuring the cost of resilience.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WPL5F5KC","journalArticle","2023","Fang, Xinyi; Lu, Linjun; Li, Yan; Hong, Yilin","A Driver-Pressure-State-Impact-Response study for urban transport resilience under extreme rainfall-flood conditions","Transportation Research Part D: Transport and Environment","","13619209","10.1016/j.trd.2023.103819","https://linkinghub.elsevier.com/retrieve/pii/S136192092300216X","This paper proposes a systematic Driver-Pressure-State-Impact-Response (DPSIR) method for traffic performance assessment under urban floods caused by extreme rainfall events. A coupled rainfall-flood-traffic model has been developed as the prerequisite for evaluation with publicly available data. The DPSIR method integrates the natural and transportation systems into causeeffect-response impact chains and facilitates dynamic traffic performance measurement on the road and network levels. We apply this approach to the urban networks’ motorways, trunk, and arterial roads in Shanghai, China. The results help identify critical roads and verify the effec­ tiveness of demand-control strategies in improving traffic resilience. By offering decision-makers a comprehensive view of traffic operation under disruptions, this method can help them build a more resilient transport system in flood risk management.","2023-08","2024-12-01 14:09:00","2024-12-01 14:09:00","2024-12-01 14:09:00","103819","","","121","","Transportation Research Part D: Transport and Environment","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\shrey\Zotero\storage\WPNNU4RQ\Fang et al. - 2023 - A Driver-Pressure-State-Impact-Response study for .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T7ZILAXK","journalArticle","2021","Xu, Xiangdong; Chen, Anthony; Xu, Guangming; Yang, Chao; Lam, William H.K.","Enhancing network resilience by adding redundancy to road networks","Transportation Research Part E: Logistics and Transportation Review","","13665545","10.1016/j.tre.2021.102448","https://linkinghub.elsevier.com/retrieve/pii/S136655452100212X","In this paper, we develop a new tool to enhance the resilience of transportation networks by optimizing route diversity redundancy from travelers’ perspective. The decision of where to add new links is made to generate as many origin–destination (O-D) pairs with alternative distinct routes as possible to potentially alleviate the impact of disruptions. Mathematically, we formulate the problem as a binary integer bi-level program (BLP), where the upper-level subprogram maximizes the total number of O-D pairs with alternative distinct routes subject to a budgetary constraint, and the lower-level subprogram counts the maximum number of distinct routes be­ tween each O-D pair under a given design scheme. Computationally, the BLP model can be equivalently reformulated as a single-level mixed-integer linear program (MILP) by using the equivalent continuous relaxation and optimality conditions of the lower-level subprogram and linearization techniques for the complementarity conditions. The globally optimum solution of the MILP structure of the reformulated model can be obtained using existing algorithms in commercial software packages. Numerical examples are provided to demonstrate the validity, features, and flexibility of the proposed route diversity-oriented network design model in terms of optimizing the network redundancy. The proposed route diversity redundant network design contributes toward enhancing network resilience against disruptions in the pre-disaster stage of transportation network planning and assists in redundancy-oriented time-dependent network growth. It can also serve as an upper-bound solution for the long-term network design problem when travelers’ route choice behaviors and travel demands are considered in the design process.","2021-10","2024-12-01 14:09:04","2024-12-01 14:09:04","2024-12-01 14:09:04","102448","","","154","","Transportation Research Part E: Logistics and Transportation Review","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\shrey\Zotero\storage\5DU2SH53\Xu et al. - 2021 - Enhancing network resilience by adding redundancy .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QS28B3KJ","journalArticle","2022","Li, Zepeng; Tang, Wenhu; Lian, Xianglong; Chen, Xingyu; Zhang, Wenhao; Qian, Tong","A resilience-oriented two-stage recovery method for power distribution system considering transportation network","International Journal of Electrical Power & Energy Systems","","01420615","10.1016/j.ijepes.2021.107497","https://linkinghub.elsevier.com/retrieve/pii/S0142061521007365","In recent years, extreme weather events have resulted in a number of severe power outages and economic losses. It is becoming urgent to study approaches to enhance power distribution system resilience. This paper presents a two-stage optimization method for improving resilience of power distribution systems. The two-stage method is influenced by a transportation network, which considers the interdependence between traffic roads and overhead distribution lines. In the first stage, based on the Bayesian network and the Monte Carlo method, the locations of emergency stations, e.g., charging stations and repair stations are pre-positioned to improve the recovery speed of interrupted loads after disasters. Then the second stage is to co-optimize the dispatch of mobile energy storage systems and repair crews on transportation network to minimize the shedding of critical loads while considering operation constraints of power, voltage and power flow for power distribution system. The dispatch of mobile energy storage systems and repair crews are affected by the locations of emergency stations in the first stage. The route of mobile energy storage systems and repair crews on transportation network can be obtained from the results in the second stage. The proposed method is tested on a modified IEEE 33-bus distribution test system with a corresponding transportation network. Simulation results demonstrate the effectiveness of the proposed method in enhancing power distribution system resilience by pre-positioning emergency stations and co-dispatching mobile energy storage systems and repair crews.","2022-02","2024-12-01 14:09:09","2024-12-01 14:09:09","2024-12-01 14:09:09","107497","","","135","","International Journal of Electrical Power & Energy Systems","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\shrey\Zotero\storage\87BNXDGX\Li et al. - 2022 - A resilience-oriented two-stage recovery method fo.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XU5DMY6M","journalArticle","2021","Asadi, Esmaeel; Salman, Abdullahi M.; Li, Yue; Yu, Xiong","Localized health monitoring for seismic resilience quantification and safety evaluation of smart structures","Structural Safety","","01674730","10.1016/j.strusafe.2021.102127","https://linkinghub.elsevier.com/retrieve/pii/S0167473021000515","Natural hazards such as earthquakes, hurricanes, and floods cause billions of dollars of economic loss and claim thousands of lives every year. Researchers have proposed various tools and techniques to evaluate, manage, and mitigate seismic risk and improve resilience. Nonetheless, given the uncertainties involved, accurate system assessment requires real-time data on structural health and performance which can be attained through struc­ tural health monitoring (SHM) systems. This paper integrates component-based resilience quantification methods and SHM techniques to present a new probabilistic framework for seismic structural system evaluation and decision analysis. A trilateral framework is introduced which (1) uses the data obtained from a localized wireless sensor network to detect and locate damage, (2) develops component-based functionality curves to quantify the seismic resilience of the structure, and (3) makes post-quake rapid decisions based on a multicriteria safety evaluation method. A nonlinear autoregressive exogenous (ARX) model is used to identify structural response and a statistical damage-sensitive coefficient is used to detect, locate, and measure damage in the system. Minor damages due to corrosion and major damages due to past extreme events are studied in the functionality analysis. Two groups of archetype building structures located in a high seismic region are studied, namely steel diagrid and special reinforced concrete structures. The results show that maximum absolute floor acceleration is the most accurate demand parameter for locating damage whereas maximum floor displacement and interstory drift ratio can effectively detect and measure damages.","2021-11","2024-12-01 14:09:14","2024-12-01 14:09:14","2024-12-01 14:09:14","102127","","","93","","Structural Safety","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\shrey\Zotero\storage\4CBK4G6N\Asadi et al. - 2021 - Localized health monitoring for seismic resilience.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EI75XL2U","journalArticle","2018","Chen, Hong; Lam, Jasmine Siu Lee; Liu, Nan","Strategic investment in enhancing port–hinterland container transportation network resilience: A network game theory approach","Transportation Research Part B: Methodological","","01912615","10.1016/j.trb.2018.03.004","https://linkinghub.elsevier.com/retrieve/pii/S0191261517306057","","2018-05","2024-12-01 14:09:18","2024-12-01 14:09:18","2024-12-01 14:09:18","83-112","","","111","","Transportation Research Part B: Methodological","Strategic investment in enhancing port–hinterland container transportation network resilience","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\shrey\Zotero\storage\YDTJ3ZMY\Chen et al. - 2018 - Strategic investment in enhancing port–hinterland .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8T5AD5WH","journalArticle","2020","Zhong, R.X.; Xie, X.X.; Luo, J.C.; Pan, T.L.; Lam, W.H.K.; Sumalee, A.","Modeling double time-scale travel time processes with application to assessing the resilience of transportation systems","Transportation Research Part B: Methodological","","01912615","10.1016/j.trb.2019.05.005","https://linkinghub.elsevier.com/retrieve/pii/S0191261518311408","","2020-02","2024-12-01 14:09:22","2024-12-01 14:09:23","2024-12-01 14:09:22","228-248","","","132","","Transportation Research Part B: Methodological","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\shrey\Zotero\storage\VDBG4JTY\Zhong et al. - 2020 - Modeling double time-scale travel time processes w.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UJDHXHFD","journalArticle","2017","Fonseca, Jimeno A.; Estévez-Mauriz, Laura; Forgaci, Claudiu; Björling, Nils","Spatial heterogeneity for environmental performance and resilient behavior in energy and transportation systems","Computers, Environment and Urban Systems","","01989715","10.1016/j.compenvurbsys.2016.11.001","https://linkinghub.elsevier.com/retrieve/pii/S0198971516303568","This paper describes an assessment of the effects of spatial heterogeneity on the future performance and resilience of an urban area. For this, indicators of environmental performance and resilience of critical infrastructures (energy and transportation systems) are explored. The approach combines established methododologies of building performance simulation, energy systems analysis, and environmental impact assessment of buildings and transportation systems. The study is centered on future urban design scenarios for an industrial neighborhood in Switzerland. For this case study, multi-functionality is proportional to the performance and resilience of critical infrastructures. Mono-functionality improves the resilience and performance of energy systems with a negative effect on that of transportation systems. Building intensity, and resource intensive users were found to play a higher role into the future performance and resilience of the area. The ﬁndings of this research could complement planning approaches of sustainable and resilient urban areas.","2017-03","2024-12-01 14:09:28","2024-12-01 14:09:28","2024-12-01 14:09:28","136-145","","","62","","Computers, Environment and Urban Systems","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\shrey\Zotero\storage\WK3WRRPQ\Fonseca et al. - 2017 - Spatial heterogeneity for environmental performanc.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9U6VPF2W","journalArticle","2014","John, Andrew; Yang, Zaili; Riahi, Ramin; Wang, Jin","Application of a collaborative modelling and strategic fuzzy decision support system for selecting appropriate resilience strategies for seaport operations","Journal of Traffic and Transportation Engineering (English Edition)","","20957564","10.1016/S2095-7564(15)30101-X","https://linkinghub.elsevier.com/retrieve/pii/S209575641530101X","The selection of an appropriate resilience investment strategy to optimize the operational efficiency of a seaport is a challenging task given that many criteria need to be considered and modelled under an uncertain environment. The design of such a complex decision system consists of many subjective and imprecise parameters contained in different quantitative and qualitative forms. This paper proposes a fuzzy multi-attribute decision making methodology for the selection of an appropriate resilience investment strategy in a succinct and straightforward manner. The decision support model allows for a collaborative modelling of the system by multiple analysts in a group decision making process.","2014-06","2024-12-01 14:09:32","2024-12-01 14:09:32","2024-12-01 14:09:32","159-179","","3","1","","Journal of Traffic and Transportation Engineering (English Edition)","","","","","","","","en","https://www.elsevier.com/tdm/userlicense/1.0/","","","","DOI.org (Crossref)","","","","C:\Users\shrey\Zotero\storage\SY98YSQC\John et al. - 2014 - Application of a collaborative modelling and strat.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"85CVWQZD","journalArticle","2019","Leobons, Camila Maestrelli; Gouvêa Campos, Vânia Barcellos; Mello Bandeira, Renata Albergaria De","Assessing Urban Transportation Systems Resilience: A Proposal of Indicators","Transportation Research Procedia","","23521465","10.1016/j.trpro.2018.12.199","https://linkinghub.elsevier.com/retrieve/pii/S235214651830615X","Abstract This paper aims to propose a set of indicators to measure the resilience of transportation systems, focusing on urban mobility. For tThhisis, apaspyesrteamimatsictolipterroaptousre raesveitewofwinadsicaatrorrysotoutmaenads,ufreomthethriess,ilaiebnicbeliomf tertarnicspaonratlaytisoisn wsyasstecmonsd, ufoccteudsirnegveoanliunrgbathneminofbliuleitnyc.eFofr theis,ecaoslyosgtiecmala,tcicomlitmeruantuitrye arenvdieewcownoams cicardroymoauitnasnodf, rferosimlietnhcise, oanbtihbeliotrmanestrpiocratantaiolynsifsiewlda.sTchoinsdaulclotewderdevtheealidnegntthifeiciantfilounenocfethoef mthaeinecroelsoigliiecnacl,ecionmdimcautnoirtsyuasned ebcyotnhoemaiccadoemiacinlsiteorfartuesreiliiennctreanosnpothretatrioansaproerat.atTiohnerfeifeoldre. ,Tahifsraamlleowwoerdktohef iinddeinctaiftiocrast,iobnasoefdtohne rmeasilniernecseilipernocpeeritnidesic, awtoarsspursoepdosbeydtchoenascidaedreimngicthlaitteirnadtuicreationrstrraenvsipeworetdatihoenreacreaan. bTehemrepfolorey,eda fmraomreeowbojrekctoivfeilnydaicnadtocrosn, sbisatseendtloyn. resilience properties, was proposed considering that indicators reviewed here can be employed more objectively and consistently. ©P©©TSeehl22e2iesr000c-111itrsie889ovanTTTineahhhwoneeepdAuAAepnnuuuedttteahhhercor-oocrrrreesssevs...ssiPpPPeawuouurbnbbtuilsllciiinssslbdehhhieleeeuirdddtnyrdebbboseyyypfrEoEEtthnhlllsssseeeeeibsvCvvciiiilCeieeietrrrynBLBBtoYit..ffdVV-itc.Nh.. ecCos-mcNiemDnitltiitfceiceencosofemt(hmhetitt2pte1ses:/to/cEfrUtehaRetiO2v1eWsct oEomUrkmRiOnognWsG.oorrrogkui/nlpigcoeGnnrsToerusap/nbosypn-noTcrrt-aanntdiso/p4no.0rMt/a)etieotninMg.eeting, PEeWerG-rTev2i0e1w8,u1n7dther–r1e9spthoSnespitbeimlitbyero2f 0th1e8,sBcireanutnifsicchcwoemigm, Gitteeremoafntyh. e 21st EURO Working Group on Transportation Meeting.","2019","2024-12-01 14:09:37","2024-12-01 14:09:37","2024-12-01 14:09:37","322-329","","","37","","Transportation Research Procedia","Assessing Urban Transportation Systems Resilience","","","","","","","en","https://www.elsevier.com/tdm/userlicense/1.0/","","","","DOI.org (Crossref)","","","","C:\Users\shrey\Zotero\storage\5P3JTI2Q\Leobons et al. - 2019 - Assessing Urban Transportation Systems Resilience.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
